source,target
Answer_Harmfulness,Irrelevant_Encryption
Contains_Opinions,Opposite_Response
Answer_Neutral,Encrypted_Conversation
Chinese_Limited,Extended_Context
Character_Disorder,Knowledge_Hijacking
Num_Languages,Chinese_Limited
Extended_Context,Encrypted_Conversation
Num_Languages,Viewpoint_Hijacking
Incorrect_Knowledge,Irrelevant_Encryption
Number_of_Background_Info,Language_Type
Task_Difficulty,Viewpoint_Hijacking
Arrangement_Operation,Opposite_Response
Lexical_Richness,Hijacking_Type
Code_Operation,Separator
Answer_Guidance,Character_Disorder
Operational_Encryption,Opposite_Response
Negative_Character,Chinese_Limited
Contains_Opinions,Operational_Encryption
Character_Encryption,Background_Task
Answer_Harmfulness,Arrangement_Operation
Irrelevant_Encryption,Background_Task
Literary_Creation,Negative_Character
Answer_Warning,Character_Setting
Irrelevant_Encryption,Direct_Rephrasing
Request_Tone,Character_Disorder
Negative_Character,Incorrect_Knowledge
Setting_Type,Encrypted_Conversation
Background_Task,Character_Disorder
Positive_Character,False_Timeline
Answer_Guidance,Setting_Type
Arrangement_Operation,Operational_Encryption
Command_Tone,Encrypted_Conversation
Hijacking_Type,Operational_Encryption
Answer_Warning,Contains_Questions
Irrelevant_Encryption,Scenario_Setting
Viewpoint_Hijacking,Irrelevant_Encryption
False_Timeline,Character_Disorder
Template_Length,Chinese_Limited
Request_Tone,Setting_Type
Answer_Neutral,Answer_Harmfulness
Chinese_Limited,Background_Task
Background_Task,Setting_Type
Answer_Refusal,Encrypted_Conversation
Direct_Rephrasing,Arrangement_Operation
Request_Tone,Extended_Context
Language_Type,Knowledge_Hijacking
Opposite_Response,Language_Type
Template_Length,Incorrect_Knowledge
Answer_Neutral,Answer_Refusal
Number_of_Task_Steps,Negative_Character
False_Timeline,Setting_Type
Encrypted_Conversation,Viewpoint_Hijacking
Character_Disorder,Background_Task
Answer_Warning,Character_Encryption
Separator,Language_Type
Character_Disorder,Direct_Rephrasing
Character_Setting,Encrypted_Conversation
Lexical_Richness,Character_Disorder
Operational_Encryption,Irrelevant_Encryption
Answer_Harmfulness,Opposite_Response
Knowledge_Hijacking,Encrypted_Conversation
Task_Difficulty,Literary_Creation
Answer_Neutral,Contains_Opinions
Answer_Guidance,False_Timeline
Code_Operation,Knowledge_Hijacking
Character_Disorder,Scenario_Setting
Contains_Questions,Encrypted_Conversation
Extended_Context,False_Timeline
Lexical_Richness,Setting_Type
Irrelevant_Encryption,Encryption_Type
Background_Task,False_Timeline
Incorrect_Knowledge,Character_Encryption
Lexical_Richness,Extended_Context
Answer_Harmfulness,Operational_Encryption
Direct_Rephrasing,Opposite_Response
Contains_Opinions,Character_Setting
Request_Tone,Background_Task
Scenario_Setting,Encrypted_Conversation
Contains_Opinions,Code_Operation
Answer_Harmfulness,Answer_Warning
Negative_Character,Language_Type
Arrangement_Operation,Character_Setting
Positive_Character,Chinese_Limited
Language_Type,Background_Task
Incorrect_Knowledge,Separator
Language_Type,Direct_Rephrasing
Arrangement_Operation,Code_Operation
Direct_Rephrasing,Operational_Encryption
Hijacking_Type,Code_Operation
Opposite_Response,Arrangement_Operation
Answer_Neutral,Task_Difficulty
Positive_Character,Incorrect_Knowledge
Character_Disorder,Encryption_Type
Encrypted_Conversation,Literary_Creation
Separator,Arrangement_Operation
Viewpoint_Hijacking,Character_Encryption
Answer_Refusal,False_Timeline
Template_Length,Language_Type
Language_Type,Scenario_Setting
Number_of_Background_Info,Operational_Encryption
Lexical_Richness,Background_Task
Code_Operation,Direct_Rephrasing
Irrelevant_Encryption,Positive_Character
Character_Setting,False_Timeline
Answer_Warning,Knowledge_Hijacking
Specific_Opening,Encrypted_Conversation
Contains_Opinions,Hijacking_Type
Viewpoint_Hijacking,Separator
Num_Languages,Negative_Character
Operational_Encryption,Character_Encryption
Code_Operation,Scenario_Setting
Answer_Neutral,Viewpoint_Hijacking
Answer_Neutral,Chinese_Limited
Task_Difficulty,Negative_Character
Extended_Context,Chinese_Limited
Answer_Harmfulness,Character_Setting
Arrangement_Operation,Hijacking_Type
Answer_Guidance,Incorrect_Knowledge
Extended_Context,Incorrect_Knowledge
Separator,Opposite_Response
Negative_Character,Arrangement_Operation
Operational_Encryption,Separator
Language_Type,Encryption_Type
Character_Disorder,Positive_Character
Literary_Creation,Code_Operation
Background_Task,Incorrect_Knowledge
Answer_Warning,Lexical_Richness
Opposite_Response,Operational_Encryption
False_Timeline,Incorrect_Knowledge
Setting_Type,Chinese_Limited
Direct_Rephrasing,Character_Setting
Command_Tone,Viewpoint_Hijacking
Command_Tone,Chinese_Limited
Separator,Operational_Encryption
Template_Length,Arrangement_Operation
Positive_Character,Language_Type
Code_Operation,Encryption_Type
Answer_Refusal,Chinese_Limited
Answer_Warning,Background_Task
Number_of_Task_Steps,Code_Operation
Encrypted_Conversation,Negative_Character
Answer_Warning,Direct_Rephrasing
Viewpoint_Hijacking,Knowledge_Hijacking
Negative_Character,Opposite_Response
Character_Disorder,Viewpoint_Hijacking
Contains_Opinions,Knowledge_Hijacking
Answer_Refusal,Incorrect_Knowledge
Answer_Guidance,Answer_Neutral
Number_of_Background_Info,Code_Operation
Answer_Harmfulness,Hijacking_Type
Hijacking_Type,Character_Disorder
Character_Setting,Chinese_Limited
Answer_Warning,Scenario_Setting
Knowledge_Hijacking,Chinese_Limited
Specific_Opening,False_Timeline
Contains_Opinions,Extended_Context
Language_Type,Positive_Character
Character_Setting,Incorrect_Knowledge
Incorrect_Knowledge,Encrypted_Conversation
Contains_Questions,Viewpoint_Hijacking
Arrangement_Operation,Setting_Type
Contains_Questions,Chinese_Limited
Hijacking_Type,Setting_Type
Template_Length,Opposite_Response
Operational_Encryption,Knowledge_Hijacking
Negative_Character,Operational_Encryption
Irrelevant_Encryption,Literary_Creation
Arrangement_Operation,Extended_Context
Answer_Guidance,Language_Type
Hijacking_Type,Extended_Context
Character_Encryption,Specific_Opening
Extended_Context,Language_Type
Direct_Rephrasing,Hijacking_Type
Irrelevant_Encryption,Specific_Opening
Answer_Warning,Template_Length
Code_Operation,Positive_Character
Background_Task,Language_Type
Opposite_Response,Character_Setting
